question,ground_truths,contexts,answer
Who is known as the 'Little Master' in cricket?,"[""Sachin Tendulkar is often called the 'Little Master' in cricket.""]","[""Sachin Tendulkar, known as the 'Little Master,'' is hailed as one of the greatest batsmen to have played cricket."", 'His elegant and technically sound batting style has left a lasting impact on the game.']",Sachin Tendulkar is known as the 'Little Master.'
Which player has the highest number of international centuries in ODI cricket?,['Virat Kohli is known for his numerous international centuries in ODI format.'],"['Virat Kohli holds the record for the highest number of international centuries in ODI cricket surpassing his idol Sachin Tendulkar who has 49 centuries, showcasing his incredible consistency and skill as a batsman.', 'His ability to chase targets and play under pressure has earned him immense admiration.']",Virat Kohli holds the record for the highest number of international centuries.
Which team has won the most ICC Cricket World Cups?,['Australia dominated the ICC Cricket World Cup with multiple victories.'],"['Australia has won the most ICC Cricket World Cups, dominating the tournament with their aggressive and competitive cricket over the years.', 'Their success is attributed to a strong cricketing culture and talented players.']",Australia has won the most ICC Cricket World Cups.
Who is famous for the 'helicopter shot' in cricket?,"[""MS Dhoni popularized the 'helicopter shot' in cricket.""]","[""MS Dhoni, the former captain of the Indian cricket team, is famous for the 'helicopter shot,' a unique and powerful stroke that he popularized."", 'The shot involves a high backlift and a powerful flick of the wrists.']",MS Dhoni is famous for the 'helicopter shot' in cricket.
In which year did Sachin Tendulkar retire from international cricket?,['Sachin Tendulkar bid farewell to international cricket in 2013.'],"['Sachin Tendulkar retired from international cricket in 2013, marking the end of an illustrious career that spanned over two decades.', 'His farewell speech at the Wankhede Stadium in Mumbai was an emotional moment for cricket fans worldwide.']",Sachin Tendulkar retired from international cricket in 2013.
Who holds the record for the fastest century in T20 international cricket?,['AB de Villiers set the record for the fastest century in T20 international cricket.'],"['South African cricketer AB de Villiers holds the record for the fastest century in T20 international cricket, achieving the feat in just 31 balls.', 'His ability to score at a rapid pace has made him one of the most exciting players in the format.']",AB de Villiers holds the record for the fastest century in T20 international cricket.
Which team is often referred to as the 'Proteas' in international cricket?,"[""The South African cricket team is nicknamed the 'Proteas'.""]","[""The South African cricket team is often referred to as the 'Proteas' in international cricket, symbolizing resilience and strength."", 'The team has produced some exceptional players and has a competitive spirit on the field.']",The South African cricket team is often referred to as the 'Proteas' in international cricket.
Who is considered the best captain in the history of Indian cricket?,['M.S. Dhoni is highly regarded as the best captain in Indian cricket history.'],"['M.S. Dhoni is considered the best captain in the history of Indian cricket, leading the team to numerous victories, including the ICC Cricket World Cup in 2011.', ""His calm and composed captaincy style earned him the nickname 'Captain Cool.'""]",M.S. Dhoni is considered the best captain in the history of Indian cricket.
In which city is the iconic Melbourne Cricket Ground (MCG) located?,"['The iconic Melbourne Cricket Ground (MCG) is situated in Melbourne, Australia.']","['The iconic Melbourne Cricket Ground (MCG) is located in Melbourne, Australia, and is one of the largest and most historic cricket stadiums in the world.', 'It has hosted numerous memorable cricket matches and is a symbol of Australian sports culture.']","The iconic Melbourne Cricket Ground (MCG) is located in Melbourne, Australia."
Which country won the ICC Cricket World Cup in 2019?,['England won the ICC Cricket World Cup in 2019'],"['The ICC Cricket World Cup in 2019 was hosted by England.', 'England won the tournament by defeating New Zealand in a thrilling final.']",England
